time,sst_anomaly,oni_colombia_pacific
1990-02-01,0.005897522,-0.1666081746419271
1990-03-01,-0.19831276,-0.1780567169189453
1990-04-01,-0.3417549,-0.3058630625406901
1990-05-01,-0.3775215,-0.3376890818277995
1990-06-01,-0.29379082,-0.3772010803222656
1990-07-01,-0.4602909,-0.31239064534505206
1990-08-01,-0.18309021,-0.39135106404622394
1990-09-01,-0.5306721,-0.3984324137369792
1990-10-01,-0.48153496,-0.4245656331380208
1990-11-01,-0.26148987,-0.31819597880045575
1990-12-01,-0.21156311,-0.17314465840657553
1991-01-01,-0.046380997,-0.20958646138509116
1991-02-01,-0.37081528,-0.07503700256347656
1991-03-01,0.19208527,-0.10471598307291667
1991-04-01,-0.13541794,-0.043262481689453125
1991-05-01,-0.18645477,-0.10559972127278645
1991-06-01,0.0050735474,-0.06204350789388021
1991-07-01,-0.004749298,-0.03388786315917969
1991-08-01,-0.10198784,-0.0389550526936849
1991-09-01,-0.010128021,-0.04739697774251302
1991-10-01,-0.030075073,0.04659271240234375
1991-11-01,0.17998123,0.12038230895996094
1991-12-01,0.21124077,0.11150932312011719
1992-01-01,-0.05669403,0.24987093607584634
1992-02-01,0.5950661,0.31732432047526044
1992-03-01,0.41360092,0.3940041859944661
1992-04-01,0.17334557,0.26568158467610675
1992-05-01,0.21009827,0.17403666178385416
1992-06-01,0.13866615,0.10627174377441406
1992-07-01,-0.029949188,-0.050029754638671875
1992-08-01,-0.25880623,-0.16493988037109375
1992-09-01,-0.20606422,-0.3722616831461589
1992-10-01,-0.6519146,-0.3537311553955078
1992-11-01,-0.20321465,-0.36160532633463544
1992-12-01,-0.22968674,-0.2769540150960286
1993-01-01,-0.39796066,-0.23859024047851562
1993-02-01,-0.08812332,-0.254425048828125
1993-03-01,-0.27719116,0.05765597025553385
1993-04-01,0.5382824,0.1577472686767578
1993-05-01,0.21215057,0.3192863464355469
1993-06-01,0.20742607,0.16286595662434897
1993-07-01,0.069021225,-0.06914202372233073
1993-08-01,-0.48387337,-0.2927869160970052
1993-09-01,-0.4635086,-0.2748559315999349
1993-10-01,0.12281418,-0.07674344380696614
1993-11-01,0.110464096,0.0058625539143880205
1993-12-01,-0.21569061,-0.08771769205729167
1994-01-01,-0.15792656,-0.278018315633138
1994-02-01,-0.46043777,-0.3583965301513672
1994-03-01,-0.45682526,-0.4868920644124349
1994-04-01,-0.54341316,-0.5134029388427734
1994-05-01,-0.5399704,-0.5665213267008463
1994-06-01,-0.6161804,-0.5378735860188802
1994-07-01,-0.45746994,-0.49754587809244794
1994-08-01,-0.41898727,-0.4242928822835286
1994-09-01,-0.39642143,-0.3943564097086589
1994-10-01,-0.36766052,-0.314999262491862
1994-11-01,-0.18091583,-0.12596893310546875
1994-12-01,0.17066956,0.02056884765625
1995-01-01,0.07195282,-0.14147822062174478
1995-02-01,-0.66705704,-0.3296699523925781
1995-03-01,-0.39390564,-0.4051157633463542
1995-04-01,-0.15438461,-0.362179438273112
1995-05-01,-0.53824806,-0.3316936492919922
1995-06-01,-0.30244827,-0.33967336018880206
1995-07-01,-0.17832375,-0.1844635009765625
1995-08-01,-0.072618484,-0.10527229309082031
1995-09-01,-0.06487465,-0.16687393188476562
1995-10-01,-0.36312866,-0.2829049428304036
1995-11-01,-0.42071152,-0.3673502604166667
1995-12-01,-0.3182106,-0.3376922607421875
1996-01-01,-0.27415466,-0.17660903930664062
1996-02-01,0.06253815,0.020163218180338543
1996-03-01,0.27210617,0.1317437489827474
1996-04-01,0.06058693,0.03687477111816406
1996-05-01,-0.22206879,-0.2901140848795573
1996-06-01,-0.7088604,-0.5488656361897787
1996-07-01,-0.7156677,-0.5993010203043619
1996-08-01,-0.37337494,-0.5499585469563802
1996-09-01,-0.560833,-0.4498176574707031
1996-10-01,-0.41524506,-0.4191875457763672
1996-11-01,-0.2814846,-0.3450584411621094
1996-12-01,-0.33844566,-0.3078753153483073
1997-01-01,-0.30369568,-0.062099456787109375
1997-02-01,0.45584297,-0.019021987915039062
1997-03-01,-0.20921326,0.03713353474934896
1997-04-01,-0.13522911,-0.10212898254394531
1997-05-01,0.03805542,0.22567431131998697
1997-06-01,0.7741966,0.6810919443766276
1997-07-01,1.2310238,1.1356569925944011
1997-08-01,1.4017506,1.240274429321289
1997-09-01,1.0880489,1.2147483825683594
1997-10-01,1.1544456,1.1106808980305989
1997-11-01,1.0895481,1.239280064900716
1997-12-01,1.4738464,1.0287615458170574
1998-01-01,0.5228901,1.2435531616210938
1998-02-01,1.733923,1.4547875722249348
1998-03-01,2.1075497,1.9449208577473958
1998-04-01,1.99329,1.849435806274414
1998-05-01,1.4474678,1.5528195699055989
1998-06-01,1.217701,1.2119337717692058
1998-07-01,0.97063255,0.8243757883707682
1998-08-01,0.28479385,0.4780508677164714
1998-09-01,0.1787262,0.2541332244873047
1998-10-01,0.29887962,0.12128321329752605
1998-11-01,-0.11375618,0.001766204833984375
1998-12-01,-0.17982483,-0.17576217651367188
1999-01-01,-0.23370552,-0.11206626892089844
1999-02-01,0.07733154,0.05656560262044271
1999-03-01,0.3260708,0.06788063049316406
1999-04-01,-0.19976044,0.008183161417643229
1999-05-01,-0.101760864,-0.17898050944010416
1999-06-01,-0.23542023,-0.25487200419108075
1999-07-01,-0.42743492,-0.3197180430094401
1999-08-01,-0.29629898,-0.40906206766764325
1999-09-01,-0.5034523,-0.5319747924804688
1999-10-01,-0.7961731,-0.6955718994140625
1999-11-01,-0.7870903,-0.8025156656901041
1999-12-01,-0.8242836,-0.7524223327636719
2000-01-01,-0.6458931,-0.5627174377441406
2000-02-01,-0.21797562,-0.630059560139974
2000-03-01,-1.02631,-0.6880486806233724
2000-04-01,-0.81986046,-0.7665538787841797
2000-05-01,-0.4534912,-0.6136430104573568
2000-06-01,-0.56757736,-0.39730199178059894
2000-07-01,-0.1708374,-0.31015650431315106
2000-08-01,-0.19205475,-0.0719159444173177
2000-09-01,0.14714432,-0.05501556396484375
2000-10-01,-0.12013626,-0.10957972208658855
2000-11-01,-0.35574722,-0.1892674763997396
2000-12-01,-0.091918945,-0.3493340810139974
2001-01-01,-0.6003361,-0.5836200714111328
2001-02-01,-1.0586052,-0.8034826914469401
2001-03-01,-0.7515068,-0.8996512095133463
2001-04-01,-0.8888416,-0.8393115997314453
2001-05-01,-0.87758636,-0.7671794891357422
2001-06-01,-0.5351105,-0.5550982157389323
2001-07-01,-0.2525978,-0.20474942525227866
2001-08-01,0.17346,-0.06671841939290364
2001-09-01,-0.121017456,-0.02048810323079427
2001-10-01,-0.11390686,-0.11177126566569011
2001-11-01,-0.10038948,-0.14379755655924478
2001-12-01,-0.21709633,0.021572113037109375
2002-01-01,0.38220215,0.17540359497070312
2002-02-01,0.36110497,0.1945044199625651
2002-03-01,-0.15979385,-0.16797892252604166
2002-04-01,-0.7052479,-0.30352528889973956
2002-05-01,-0.045534134,-0.1676006317138672
2002-06-01,0.24798012,-0.009714126586914062
2002-07-01,-0.23158836,-0.021040598551432293
2002-08-01,-0.07951355,-0.08712959289550781
2002-09-01,0.049713135,0.04202079772949219
2002-10-01,0.15586281,0.2108160654703776
2002-11-01,0.42687225,0.35257593790690106
2002-12-01,0.47499275,0.4126351674397786
2003-01-01,0.3360405,0.2826608022054036
2003-02-01,0.036949158,0.41042200724283856
2003-03-01,0.85827637,0.4560038248697917
2003-04-01,0.47278595,0.4339192708333333
2003-05-01,-0.029304504,0.18618392944335938
2003-06-01,0.11507034,0.007119496663411458
2003-07-01,-0.06440735,-0.06302579243977864
2003-08-01,-0.23974037,-0.10973040262858073
2003-09-01,-0.025043488,-0.10264396667480469
2003-10-01,-0.04314804,0.04440879821777344
2003-11-01,0.20141792,0.058949788411458336
2003-12-01,0.018579483,0.22133318583170572
2004-01-01,0.44400215,0.31142107645670575
2004-02-01,0.4716816,0.13651275634765625
2004-03-01,-0.5061455,-0.16796875
2004-04-01,-0.46944237,-0.484805425008138
2004-05-01,-0.47882843,-0.48384984334309894
2004-06-01,-0.50327873,-0.4521840413411458
2004-07-01,-0.37444496,-0.2582511901855469
2004-08-01,0.10297012,-0.16260210673014322
2004-09-01,-0.21633148,-0.008787790934244791
2004-10-01,0.086997986,-0.00878143310546875
2004-11-01,0.1029892,0.047618865966796875
2004-12-01,-0.047130585,0.06840133666992188
2005-01-01,0.1493454,-0.3634529113769531
2005-02-01,-1.1925735,-0.2388744354248047
2005-03-01,0.32660484,-0.0014444986979166667
2005-04-01,0.8616352,0.5280170440673828
2005-05-01,0.39581108,0.3665650685628255
2005-06-01,-0.15775108,0.03856213887532552
2005-07-01,-0.12237358,-0.06746991475423177
2005-08-01,0.07771492,0.04532178243001302
2005-09-01,0.18062401,0.04541333516438802
2005-10-01,-0.12209892,-0.11797714233398438
2005-11-01,-0.4124565,-0.29865455627441406
2005-12-01,-0.36140823,-0.30445098876953125
2006-01-01,-0.13948822,-0.2513268788655599
2006-02-01,-0.25308418,-0.489926020304362
2006-03-01,-1.0772057,-0.6845951080322266
2006-04-01,-0.7234955,-0.7420266469319662
2006-05-01,-0.4253788,-0.6127764383951823
2006-06-01,-0.68945503,-0.4410991668701172
2006-07-01,-0.20846367,-0.21720250447591147
2006-08-01,0.24631119,0.16958045959472656
2006-09-01,0.47089386,0.4290580749511719
2006-10-01,0.5699692,0.4771626790364583
2006-11-01,0.390625,0.5035928090413412
2006-12-01,0.55018425,0.4563922882080078
2007-01-01,0.4283676,0.3779436747233073
2007-02-01,0.15527916,0.06159273783365885
2007-03-01,-0.39886856,-0.09085464477539062
2007-04-01,-0.028974533,-0.23845990498860678
2007-05-01,-0.28753662,-0.3286558787027995
2007-06-01,-0.6694565,-0.4171028137207031
2007-07-01,-0.29431534,-0.5066560109456381
2007-08-01,-0.5561962,-0.33389536539713544
2007-09-01,-0.15117455,-0.36521021525065106
2007-10-01,-0.3882599,-0.3387076059977214
