Model_ID,Model_Name,Ensemble_Type,Score,SMAPE,MAE,RMSE,MADE,MAGE,ODA,Num_Participants
b157af5706064014fccdac4cca93d9ff,Ensemble,1,13.930851447207463,119.60322036207931,0.3569520383322443,0.4500046051121659,0.8602917510066531,0.9011605921869175,0.7999999999999999,0
bbf4c17050b121ec6614c953828673fc,UnivariateMotif,0,14.839848140348337,126.95726159352232,0.40173939083142124,0.5149673614997805,0.940683750726817,0.9444589394372894,0.75,0
ddcd6174e492e0747219b63d8e87f1da,UnivariateMotif,0,14.862119408858174,129.28179924835908,0.39815591364572456,0.49159177871942783,0.8617647516043838,1.0311675603993848,0.8,0
0dac6151c14836f9ee77b833a283b9f6,UnivariateMotif,0,14.984469562357779,119.49424106349593,0.43098856784086836,0.5355113591321772,0.9767500084466887,1.0376249907451534,0.7666666666666666,0
c229218cc24e122904d692e6ef60f24d,UnivariateMotif,0,14.984469562357779,119.49424106349593,0.43098856784086836,0.5355113591321772,0.9767500084466887,1.0376249907451534,0.7666666666666666,0
5a9347b8e5ca52bd39167a1a0608ad9a,UnivariateMotif,0,14.988816764319091,125.8319526927742,0.4087422532672685,0.4976739256236719,0.9064825413483151,0.985676983376013,0.75,0
0584b7c98d506671af64af8d005630a9,UnivariateMotif,0,15.0881374308651,128.03655276380937,0.4184514774126987,0.5317301104342689,0.9591469720371487,0.787307362710091,0.8,0
9c554b72e9c1e360bcada3234b1a507f,UnivariateMotif,0,15.110071452435761,120.85780376936984,0.4253360804164106,0.5456628590687135,0.9424684339253286,1.035335103830016,0.7166666666666667,0
19e7b5e754c22a6139192ccd7852a107,UnivariateMotif,0,15.161459216962056,121.64060668325519,0.44432641911972803,0.5405992603615626,0.9505577470000951,0.9682433493328549,0.7,0
2d048a8f1fadac2ecd974ebef4066bc5,UnivariateMotif,0,15.36745140900949,132.2788033389554,0.3860779509836091,0.4948987764153193,0.9587749589924606,1.023461713742896,0.75,0
18d95e954dcc26f03babd280595f4240,UnivariateMotif,0,15.386455419123577,121.41219735348088,0.4893553962741433,0.5829191806125075,1.045381962831705,1.4154350872864991,0.7666666666666667,0
c3895ee4eeee52e1c94a9dc52c4ec6a6,UnivariateMotif,0,15.386455419123577,121.41219735348088,0.4893553962741433,0.5829191806125075,1.045381962831705,1.4154350872864991,0.7666666666666667,0
88d627e9d0e8a91eada939f510c9f31d,VAR,0,15.416841725477028,118.41619332720629,0.43230357306372413,0.5027017723056996,1.0787206872661916,1.0706879468231505,0.8,0
862a10291a92f39db0fc3e8e8ca22ae2,VAR,0,15.416841725477031,118.41619332720629,0.43230357306372413,0.5027017723056996,1.0787206872661916,1.0706879468231505,0.8,0
6a83d6e97a94c2247644c5a3481e78ee,UnivariateMotif,0,15.418605922844907,120.54205169029731,0.4284723246502648,0.5343798726843334,0.8380348656026209,0.9594749539229863,0.8,0
b879ebb857e0c86ae834650407ba06d6,UnivariateMotif,0,15.501598885343492,132.02259110003303,0.4259535464671863,0.5136702607092498,0.9307635009420053,1.021333023499385,0.75,0
032f3e5f35bf2a9aa0efb861f2229e3e,VAR,0,15.50643680739644,138.19985202450923,0.4117220195519312,0.5106097906787064,1.0260783820826833,0.8308860587149531,0.7833333333333333,0
846b48eaf5e87240655a8c8c515f2d4b,VAR,0,15.54759537819686,140.020032030688,0.4154349478146419,0.5126919792116376,1.045426585036242,0.8378207863793831,0.7833333333333333,0
cbe5f5699fa5f8492113ad00f24eac37,ARDL,0,15.562925890189033,145.62671151127725,0.4074610445416325,0.4884546042466223,0.960771025926811,0.8126102740149224,0.75,0
9ed23c75cbf793cbdb4eff2bc198fbe6,VAR,0,15.588667720055735,140.48315625540448,0.4183828959697588,0.5140957272487017,1.0352808562987392,0.8622070509689601,0.8,0
6546cee2e332c513da92474bb5491096,ARDL,0,15.589582069661125,106.20634322580506,0.5310348123272716,0.6255722291559459,0.8736746365034911,1.3537184910007134,0.8166666666666667,0
748e7186ce95d15e3aea229330711dfc,VAR,0,15.686454796567213,119.33380193069056,0.4492880936985763,0.5217008515456224,1.092598498276157,1.0201326993497097,0.8,0
f79c57036c797eaafa57a821591cc924,VAR,0,15.737035553565153,142.62216114900065,0.4210452723335042,0.5171917545715938,1.0653966534109458,0.8124238048680441,0.7833333333333333,0
2a39de1b468de86f830977d7953a6bca,VAR,0,15.756666753698378,143.2110861888294,0.41661989869741084,0.5097747952062821,1.0288587051668128,0.848067782808014,0.8,0
81c8e396c3b55022d26a5b4d1f363f76,VAR,0,15.762393229955043,143.21108618882803,0.4166198986974091,0.5097747952062808,1.02885870516681,0.8480677828080129,0.8,0
bf9ebd2a4de894c46832ecb0fe302cd5,VAR,0,15.762393229955068,143.21108618882846,0.4166198986974097,0.5097747952062808,1.0288587051668092,0.848067782808014,0.8,0
77443e4497fb90b3d7e994835513b1f9,UnivariateMotif,0,15.794252665591141,133.7548563846887,0.42221810022980594,0.5219760493476215,0.9553497594470837,1.0807079759432734,0.8,0
3f97e3cd32b390b241dcd8cf15ebb71e,VAR,0,15.804409667915648,129.00894662077997,0.4592849033253019,0.530540223222291,0.99745199349515,1.0031268496543577,0.7833333333333333,0
482ebbc21ffd1c2c132e7f3153e9d666,SeasonalityMotif,0,15.874638988167515,143.0827984112202,0.4190184822518829,0.5250339537874864,0.9977728037758151,1.2788149095193535,0.7833333333333333,0
528d2865ee83b0ac955cae4169c41d33,UnivariateMotif,0,15.878465596335081,143.1499027102343,0.4252626133448881,0.504830753035422,0.9573869376228338,0.7927600707692206,0.7499999999999999,0
b04a53076c422ff70438cef9d434e839,UnivariateMotif,0,15.91003783979797,125.75310678373998,0.43397713441934804,0.5605311279008551,0.9943919800062245,0.8907993353267492,0.8,0
