,temperature_t_90,temperature_t_10,wind_anomalies_above,precipitation_Anomalia_Lluvia,drought_Anomalia_Sequia,Climate_Index
1961-01-01,0.31821420757425545,-1.328985497090073,-0.4882383090018301,-0.18554098904132843,-0.43628330989245856,0.10742741934574225
1961-02-01,-0.4209913739217988,0.022393355696262607,0.7249565503710074,-0.7605469354561397,-0.457435372777641,-0.18728209749616695
1961-03-01,-0.9749285722519702,1.462144097059165,-1.1925544354260216,0.5773377902805805,-0.4604181900943283,-0.702541500910181
1961-04-01,-0.051735851707845726,-0.11500022294822299,-1.2410931752413097,0.8095585803190866,-0.4092511991095882,-0.1555042845582868
1961-05-01,0.24639286430957402,1.1047434026925762,0.7410662764327893,-1.005509439110756,-0.29892011376900807,-0.28434276296599537
1961-06-01,0.8374448884790101,-0.9467104640462972,-0.23159670691583822,1.1110644855282523,-0.12695006469811854,0.5073346132879205
1961-07-01,0.1998384563613262,-0.5249389411134998,0.7312802982032144,0.1569380337993304,0.09160647810539968,0.3409204415165541
1961-08-01,0.38685444060940966,-1.0045209586349237,0.3285494894114299,-0.7189964925249417,0.21878539525268137,0.24394275827670064
1961-09-01,-0.08678406843016806,0.4622084240764056,0.4755471550190671,-0.5398716156681378,0.33242403736618514,-0.05617858315789185
1961-10-01,-0.47505075858850815,0.5130886788166943,-0.24948823022309374,-0.098493089278539,0.4207824918059231,-0.18306765302018238
1961-11-01,-0.4163480802250867,0.9802277619984867,1.2069256540769948,0.2978756092488766,0.4852078230465706,0.11868664882977371
1961-12-01,-0.5071099284842112,0.7279003876172336,0.26548544972193555,-0.23222650215029716,0.4758611818320527,-0.14517803733955076
1962-01-01,0.33818592181646756,-0.6012597461748895,-0.570304983651567,-0.252515222877264,0.32200676717687987,0.08772644572788119
1962-02-01,-0.027873103196937254,-0.4114763809562285,-0.044972577078467024,-0.17243573317925137,0.21604119976460934,0.07644723345323644
1962-03-01,0.2594544422052429,0.40441270695545883,-0.5743302796894068,0.859903668363889,0.14256083610400955,0.05663519200565518
1962-04-01,0.4335558271364921,-1.2482461691704894,0.08262260823421574,0.06926457583904272,0.08987431349758768,0.38471269877556546
1962-05-01,0.4945702997182746,-0.9441906712128578,0.3482914557304318,0.6596927978098392,0.05406061860386335,0.5001611686150533
1962-06-01,-0.18998836607697323,0.47117468368590243,-0.7471055590929836,-0.186886274566253,0.028445200156397232,-0.31334193665314297
1962-07-01,-0.18973019595627294,0.43042472893332,0.23436818168446133,0.5047057084739208,0.011495799421333996,0.02608295293802463
1962-08-01,-0.264198863306221,0.02232298217186518,-0.06681929498584308,-0.1528748758137226,-0.011177382040083395,-0.10347867966354704
1962-09-01,-0.43327542590993146,1.2283335754441969,-0.5320429301965204,-1.0373566336929798,-0.03296679254856805,-0.6527950715584393
1962-10-01,-0.5579431137461213,0.018835625286709123,0.24549855690897665,0.24924742057919508,-0.04983658422380899,-0.02637386915369353
1962-11-01,-0.8872288169645959,0.19924638408897227,-0.40944611310482804,-0.046701410164435686,-0.0603849181087934,-0.32060152848632506
1962-12-01,-0.3927153077009871,-0.15986538616186657,0.25504532503531735,-0.4252823380132516,-0.10402322206258838,-0.10142203131592864
1963-01-01,0.28392594369172286,-0.5417288783639831,-0.30756903822341053,-0.07886854683359462,-0.08857733009468785,0.07012798138080259
1963-02-01,2.0968541933224345,-1.0069835162673946,1.5027284453058258,0.2937627310554187,-0.06236016629925216,0.9675937439303641
1963-03-01,0.20138162139075438,1.1146333925844676,-0.6733610256793874,0.014328822493553162,-0.042960117898929215,-0.32304881845569533
1963-04-01,1.4074993066418846,-0.6498392722146578,0.2757674499514256,0.07483001301685971,-0.03033200116493697,0.47552080813197806
1963-05-01,-0.5776424455825122,1.0086067086549915,-0.6438810636854366,0.5224074212213357,-0.022741947546141426,-0.34609294884954916
1963-06-01,-0.44681576834356823,-0.27431628991825363,-0.5076798390585363,-0.0484636823336283,-0.017798728965916666,-0.14928834575667915
1963-07-01,-0.8152058411662599,-0.25293670446821337,0.05335435200765476,-0.4039240727821986,-0.014741625793586616,-0.18551609665323543
1963-08-01,-0.42823449185040696,-0.7907187484095193,-0.07854717237738862,-0.20605271061261493,-0.01977021060678342,0.01162283259246507
1963-09-01,-0.2694898775686046,-0.6036555348790948,0.8864966046067054,0.592554618914922,-0.03641587287663642,0.35536020159109627
1963-10-01,-0.41901517793143395,-0.36726052095514616,-0.1629967804331727,0.05013734847307205,-0.06721117398504875,-0.046365052584287435
1963-11-01,0.5435140736634805,-0.9918446733581334,0.3009372716341998,0.1349420311550299,-0.11548063194611358,0.37115148357294603
1963-12-01,0.21354208412059714,-0.6467100718937108,0.039990909501881444,-0.46786444013317424,-0.20318235974235108,0.04583925312813281
1964-01-01,1.9863675098493068,1.368073254182122,0.02656223579985928,-1.4465615910788376,-0.17280886900007092,-0.1949027937223729
1964-02-01,-0.6977886733326337,1.4960674330356865,-0.21497653360541136,0.6990913835664591,-0.11876568155879955,-0.3657013875932144
1964-03-01,-0.6683329203867827,0.6112242009163289,-0.20015069680359404,-0.7265194800371925,-0.052831929494539576,-0.4518118455276875
1964-04-01,-1.0130289195482765,0.9183695743270625,-0.18833992278242742,0.5180428006375829,0.022811850137932743,-0.31577675317645015
1964-05-01,1.8562750455700923,-0.6939297016559961,-0.029233159561956622,0.61624566745013,0.10295707260885434,0.6480348655446233
1964-06-01,1.5582488471598501,0.19414616147644292,0.6201560562039621,1.1094664946819346,0.1716800501827188,0.6530810573504044
