,temperature_t_90,temperature_t_10,wind_anomalies_above,precipitation_Anomalia_Lluvia,drought_Anomalia_Sequia,Climate_Index
1961-01-01,,,,,,
1961-02-01,,,,,,
1961-03-01,,,,,,
1961-04-01,,,,,,
1961-05-01,,,,,,
1961-06-01,,,,,,
1961-07-01,,,,,,
1961-08-01,,,,,,
1961-09-01,,,,,,
1961-10-01,,,,,,
1961-11-01,,,,,,
1961-12-01,,,,,,
1962-01-01,,,,,,
1962-02-01,,,,,,
1962-03-01,,,,,,
1962-04-01,,,,,,
1962-05-01,,,,,,
1962-06-01,,,,,,
1962-07-01,,,,,,
1962-08-01,,,,,,
1962-09-01,,,,,,
1962-10-01,,,,,,
1962-11-01,,,,,,
1962-12-01,,,,,,
1963-01-01,,,,,,
1963-02-01,,,,,,
1963-03-01,,,,,,
1963-04-01,,,,,,
1963-05-01,,,,,,
1963-06-01,,,,,,
1963-07-01,,,,,,
1963-08-01,,,,,,
1963-09-01,,,,,,
1963-10-01,,,,,,
1963-11-01,,,,,,
1963-12-01,,,,,,
1964-01-01,,,,,,
1964-02-01,,,,,,
1964-03-01,,,,,,
1964-04-01,,,,,,
1964-05-01,,,,,,
1964-06-01,,,,,,
1964-07-01,,,,,,
1964-08-01,,,,,,
1964-09-01,,,,,,
1964-10-01,,,,,,
1964-11-01,,,,,,
1964-12-01,,,,,,
1965-01-01,,,,,,
1965-02-01,,,,,,
1965-03-01,,,,,,
1965-04-01,,,,,,
1965-05-01,,,,,,
1965-06-01,,,,,,
1965-07-01,,,,,,
1965-08-01,,,,,,
1965-09-01,,,,,,
1965-10-01,,,,,,
1965-11-01,,,,,,
1965-12-01,-0.256230718669513,0.27758779286152235,0.20471901977846232,-0.254081754013896,0.25884258859639525,-0.06486773143401477
1966-01-01,-0.24364405092275823,0.2730729357279035,0.21494322810244426,-0.2548113069186608,0.29366594368730414,-0.05258382435591483
1966-02-01,-0.2248988994829992,0.2566219508140832,0.20261514269251363,-0.2510425499329964,0.32596426544901413,-0.04079679841771022
1966-03-01,-0.20711441680046752,0.2144137153305519,0.22734593258558541,-0.25309102442891646,0.35520042794237905,-0.018414559206394284
1966-04-01,-0.1987493138835719,0.19917604141905706,0.24768346639091535,-0.2628486380679533,0.3803763571500641,-0.00654283396592056
1966-05-01,-0.17996989956427575,0.16956170847331073,0.24639724882847117,-0.23602872845561554,0.4005362648049139,0.012274635428036607
1966-06-01,-0.1845464872108279,0.1648777163501762,0.2485325426626374,-0.23836221552919595,0.4148044944151949,0.015110123597526443
1966-07-01,-0.16101267906046549,0.16049992042914682,0.2391520986518722,-0.23649378773601104,0.422717865535492,0.020772715392348172
1966-08-01,-0.1452828871071003,0.1574659559533681,0.20640430707155724,-0.21728703299692523,0.4243342094649097,0.02214052809581467
1966-09-01,-0.11910596079506867,0.12733419590933118,0.17865894965428228,-0.21100061853261043,0.420162397845817,0.02827611445261779
1966-10-01,-0.09692730579414878,0.09709798434727127,0.1635348482444245,-0.21386442799897243,0.41094839834486685,0.03331870568977977
1966-11-01,-0.07970834140362194,0.06669453412886504,0.13297080805079523,-0.2047250610543415,0.397459575675828,0.035860489427958935
1966-12-01,-0.051840272904976295,0.043193052001151845,0.13160607075397532,-0.1835128100666528,0.3810799855956094,0.046827984275360744
1967-01-01,-0.060856878649866455,0.06048325915156085,0.1233265793760069,-0.18459862788052608,0.36452750104383397,0.03638306294757749
1967-02-01,-0.05965848770359014,0.07626278781331176,0.1239824087339242,-0.18604932446808864,0.34788181681738783,0.029978725113264288
1967-03-01,-0.04981480779448034,0.04737855701425189,0.12899626647207574,-0.19458871354193738,0.33121487580670894,0.03368581278562301
1967-04-01,-0.03681725491325772,0.05965730315654817,0.12309930562349937,-0.18764229411414515,0.31483957593294204,0.030764405874498066
1967-05-01,-0.04898051317737421,0.05727768022483047,0.10327001535072904,-0.19383682118883977,0.29909598556990846,0.020454197265918593
1967-06-01,-0.04902034071019814,0.05284714033646612,0.1218928811838649,-0.16959132062426457,0.2844055229983009,0.026967920502247385
1967-07-01,-0.05094943217280275,0.06010374560707367,0.11929802285527034,-0.17345327931301047,0.2711222280133905,0.021182758755154785
1967-08-01,-0.04208744805073694,0.0421809936091061,0.11798151725651569,-0.17674955673671017,0.25948199729338584,0.023289103230669662
1967-09-01,-0.038023800376859825,0.026146554442493083,0.11350942623295678,-0.16173309135095526,0.24954039176001283,0.02742927436453228
1967-10-01,-0.032315001663301576,0.01974411722731847,0.10114419348629973,-0.16525729271428038,0.24125048058460027,0.025015652493199907
1967-11-01,-0.017932365694765345,0.01480965734043784,0.11205928939391593,-0.15492108735100676,0.2344617640902191,0.031771588619585005
1967-12-01,-0.0028909163354015927,0.019464550432093355,0.11312370053973092,-0.15107907327668121,0.229339567312899,0.03380574556169074
1968-01-01,-0.007769188465645869,0.029674515564383618,0.1217597600672297,-0.13894876214520385,0.22475098869910903,0.03402365651822107
1968-02-01,-0.047672144573009785,0.033214711228729134,0.09695766156904378,-0.12626027735726286,0.2208115836701399,0.022124422416036363
1968-03-01,-0.04761205133344588,0.004727933215190079,0.1152862940040836,-0.09903154594358057,0.21762754162240017,0.03630846102685344
1968-04-01,-0.06590193556871353,0.0159243524510339,0.11183686887798333,-0.07869487253483384,0.21532648566335216,0.03332843879735083
1968-05-01,-0.06106652729387834,-0.0034354130477493583,0.12096058240823827,-0.09283214805182069,0.21400227645405476,0.036899919312868665
1968-06-01,-0.06546578433812177,0.008078293907354463,0.1189641442209499,-0.060662259634894626,0.2136986316605663,0.03969128760022907
1968-07-01,-0.06142898612268136,0.02180921903313691,0.11405858241010679,-0.04221813378389926,0.21439321058185398,0.04059909081044864
1968-08-01,-0.07134171167347715,0.05865861549886569,0.11326291455856796,-0.038779116150302204,0.21600478069579054,0.032097650386342685
1968-09-01,-0.08068909980023256,0.07163771577144992,0.07981674060649387,-0.0385410199329878,0.21842307150838008,0.021474395322040724
1968-10-01,-0.0840594024488519,0.06690550682402678,0.08583953956703197,-0.04292388754741601,0.22151584690897066,0.022693317931141585
1968-11-01,-0.09882039405960401,0.07444287242395906,0.06892624381739977,-0.04716098331070196,0.22517634922303625,0.014735668649234198
1968-12-01,-0.11413452187921976,0.0790807491560201,0.053721670488728605,-0.05163892132695766,0.22921199022408348,0.007615893670122912
1969-01-01,-0.15010108270629488,0.041489428171692724,0.05257513369953337,0.0029809313748652587,0.230766135956403,0.018946338030562806
1969-02-01,-0.13839948703803867,0.012189464938653891,0.04946859449967868,0.009542517635660856,0.22938232102106149,0.027560896235941688
1969-03-01,-0.1174073440668916,-0.010738760949401875,0.03649665067070505,0.015697576377230373,0.22459833479053684,0.0340247957441965
1969-04-01,-0.07556242193535095,-0.05997643672943909,0.03221128138556454,0.02493074166122823,0.21601958011347727,0.05151512359087163
1969-05-01,-0.09716532037799087,-0.0775470683606164,0.024149504762972677,0.024755193068025004,0.20342340353364463,0.04654196986945357
1969-06-01,-0.10893246572351926,-0.10537972300261779,0.0031361826647223184,0.02258922683540731,0.18693015022638673,0.04182056340112297
1969-07-01,-0.06705618267406663,-0.12139947096760015,-0.008577819490607404,-0.0028047688072547427,0.1670010366632254,0.04199234733177935
1969-08-01,-0.023130687659350994,-0.1463247073139713,-0.00923854723950659,0.0006769504010056354,0.14433377140411435,0.051793238844046734
1969-09-01,0.025553231702492674,-0.19297200129993267,-0.0008437733162759669,0.03718490658793597,0.11960036596413678,0.07489334644764443
1969-10-01,0.06444981742620706,-0.21246500528495832,0.030284504332180065,0.054512756154872465,0.09346496182226537,0.09103540900409665
1969-11-01,0.0893114132093036,-0.23397597526714495,0.027206282712070876,0.0835462124009306,0.06634029040735552,0.1000760347993611
1969-12-01,0.1261187255910758,-0.24463355488118718,0.039719684576668614,0.09300397320184856,0.03853728514824272,0.10840264467980457
1970-01-01,0.1545947515187858,-0.26750248297718576,0.03615047020961763,0.12036959065590053,0.009764068624701895,0.11767627279723832
1970-02-01,0.14514977583873337,-0.2722013287618129,0.03165327286854563,0.12118574265235413,-0.019686064385583034,0.1101008111471726
1970-03-01,0.15391350499368778,-0.2565485262875298,0.03433397322093169,0.1363401165464893,-0.049776672588902476,0.1062718896919472
1970-04-01,0.15034785219883043,-0.26649559960674635,0.03378736800383726,0.1198278144855673,-0.07999730037959246,0.09809226678307777
1970-05-01,0.16198024897013377,-0.29235339860106385,0.04118952558093222,0.10829220577919234,-0.10972905583885,0.09881726461849444
1970-06-01,0.1647569739145172,-0.3017131305691505,0.044912085132795425,0.11736386644188314,-0.13813771777268877,0.0981216676571315
1970-07-01,0.2081711261850838,-0.3356997351364696,0.059642292261043665,0.10602080079261213,-0.16446361764786582,0.10901406734546866
1970-08-01,0.22963671896867244,-0.3474049036292855,0.048090494830707396,0.08629770877305416,-0.18816759649269332,0.10465244594180523
1970-09-01,0.24253285841617125,-0.35213346816807073,0.03516673920227841,0.12196933430774758,-0.2090737389062394,0.10854573223760572
1970-10-01,0.25560801984971754,-0.36167410519364446,0.014503377034375159,0.13250734808389097,-0.22717973201550526,0.10742262362922456
1970-11-01,0.2659716632067442,-0.37323517495865877,0.01220036886943779,0.1307202295322592,-0.24271350294098368,0.10788278672522326
1970-12-01,0.26645900055697913,-0.37539484744875945,0.01589255443995644,0.12928283459041268,-0.2557376449207537,0.1062583184230708
1971-01-01,0.24841266665591602,-0.3507648196045588,0.0044497941676396235,0.14899912820352862,-0.26939535465873515,0.0966462107945816
1971-02-01,0.2316875550048433,-0.3348476901079067,-0.00951154809731108,0.17757164186332375,-0.28365358864261336,0.09018835004722986
1971-03-01,0.22423158800588702,-0.3097162088499077,-0.022076900613230956,0.1884204803965986,-0.2985665990468306,0.08034495551846635
1971-04-01,0.21111244983098604,-0.28748115796833257,-0.03712064226252486,0.1877727716229856,-0.3139724167482511,0.06705466408230563
1971-05-01,0.18190360830533783,-0.27256483636084944,-0.05345901487374361,0.19656209439660113,-0.32963609314556575,0.05358708620869583
1971-06-01,0.16649058462415495,-0.2459243714602946,-0.07110839244471799,0.17828861167654395,-0.34514877924911364,0.03488927921343237
1971-07-01,0.13540104657901939,-0.2003739223761421,-0.08586619183743953,0.2063957292897006,-0.3600494339062291,0.019251014500238695
1971-08-01,0.10663874012758995,-0.17506588812337104,-0.07854948846935204,0.2318576450459659,-0.37392253255636126,0.01221805045424272
1971-09-01,0.07987529398244358,-0.14765848497628195,-0.0742693337865094,0.24401015394056838,-0.38654501964378224,0.0021459158938004577
1971-10-01,0.06627522283734076,-0.13270484031535248,-0.0818634026522919,0.25333393703525264,-0.39780546235308817,-0.005470972963486827
1971-11-01,0.05378249679341085,-0.11434816775083446,-0.09689992327898517,0.24893484230463703,-0.40776890515051717,-0.017520664316124
1971-12-01,0.025687088365474047,-0.06391899523300286,-0.12561058911959536,0.24651387250050902,-0.41658778086487497,-0.04121568277709687
1972-01-01,0.024547285523201727,-0.07508273438480637,-0.11866896757239799,0.27294803972666465,-0.42514348841867194,-0.03424687927127943
1972-02-01,0.05555534179545464,-0.0968730689141664,-0.11042214363915354,0.28162923992301025,-0.4332272477229341,-0.02191834814589124
1972-03-01,0.07666940445305383,-0.09830417107246882,-0.1184843161844339,0.2903844832442701,-0.4407285382005994,-0.018770959123048103
1972-04-01,0.07656787861080253,-0.09619311956475049,-0.12111599159991623,0.2947510842544337,-0.44738790223096425,-0.020198362280178746
