,temperature_t_90,temperature_t_10,wind_anomalies_above,precipitation_Anomalia_Lluvia,drought_Anomalia_Sequia,Climate_Index
2025-01-01,1.9114565683445814,-1.6478323072494971,0.04350969030117928,-0.29269131044505337,0.8776135818187129,0.8375441674537834
2025-02-01,1.973218722302145,-1.725928453869606,-0.07981118725123851,-0.09703006130100655,0.8712696925324847,0.8787151240303981
2025-03-01,2.0170649234896416,-1.7147888446467057,-0.15620181531947444,-0.23916952885525417,0.8986075998064932,0.8470180047536224
2025-04-01,1.8459556272699307,-1.8796242087443127,-0.08869775536751573,-0.18508344934889373,0.8792134723326072,0.8662024207260881
2025-05-01,1.6927531279801302,-1.5190487571059115,-0.26265767804845874,-0.17016320121318657,0.8258384834130539,0.7209638978474902
2025-06-01,1.6455997745532738,-1.5338906613431837,-0.2791463940443246,-0.052965915493559,0.7757044582730799,0.7246165169263307
2025-07-01,1.661441786823336,-1.5768901770818684,-0.007100294055625428,-0.07995953163712556,0.7542619078116067,0.781106809204812
2025-08-01,1.7121063572915607,-1.4958696807580594,-0.14180095079084365,-0.11795957117643022,0.6731466724312346,0.7242724377027161
2025-09-01,1.5922123281194247,-1.5352359263155666,-0.24123267381735353,-0.13407911728254646,0.5746858379567904,0.6653644602583764
2025-10-01,1.4982550746435004,-1.4521082296260481,-0.25259795385823963,-0.14990614713999867,0.4677203539199615,0.6031159114382543
2025-11-01,1.435622087543842,-1.5410538014458286,-0.11490915974382251,-0.18749420583004112,0.36212611894021596,0.6072797284712046
2025-12-01,1.505098984383722,-1.589971366936969,-0.10878015080650213,-0.21149414063569028,0.26946470349981194,0.6088521526756621
