Year,Value_mm,Flag1,Flag2
1971.9583,641,8,0
1972.0417,671,3,0
1972.125,652,0,0
1972.2083,650,0,0
1972.2917,647,3,0
1972.375,715,2,0
1972.4583,765,5,0
1972.5417,683,11,0
1972.625,740,6,0
1972.7083,800,0,0
1972.7917,786,2,0
1972.875,751,0,0
1972.9583,755,0,0
1973.0417,740,0,0
1973.125,701,0,0
1973.2083,690,0,0
1973.2917,720,0,0
1973.375,695,0,0
1973.4583,715,0,0
1973.5417,758,0,0
1973.625,778,0,0
1973.7083,754,2,0
1973.7917,790,3,0
1973.9583,727,0,0
1974.0417,634,2,0
1974.125,662,3,0
1974.2083,666,11,0
1974.2917,654,0,0
1974.375,677,1,0
1974.4583,713,0,0
1974.5417,712,2,0
1974.625,730,12,0
1974.7083,745,0,0
1974.7917,847,0,0
1974.9583,694,6,0
1975.0417,688,0,0
1975.125,692,0,0
1975.2083,663,0,0
1975.2917,643,0,0
1975.375,702,0,0
1975.4583,732,0,0
1975.5417,707,0,0
1975.625,736,0,0
1975.7083,803,1,0
1975.7917,797,11,0
1975.875,797,0,0
1975.9583,707,4,0
1976.0417,671,6,0
1976.125,661,0,0
1976.2083,616,0,0
1976.2917,661,0,0
1976.375,678,0,0
1976.4583,729,1,0
1976.5417,654,1,0
1976.625,728,0,0
1976.7083,813,0,0
1976.7917,795,5,0
1976.875,761,1,0
1976.9583,675,0,0
1977.0417,701,0,0
1977.125,673,0,0
1977.2083,664,3,0
1977.2917,653,0,0
1977.375,722,0,0
1977.4583,663,1,0
1977.5417,660,0,0
1977.625,765,0,0
1977.7083,764,0,0
1977.7917,757,1,0
1977.875,760,0,0
1977.9583,686,5,0
1978.0417,656,6,0
1978.125,690,0,0
1978.2083,699,3,0
1978.2917,680,0,0
1978.375,742,0,0
1978.5417,765,1,0
1978.625,714,3,0
1978.7083,785,4,0
1978.7917,852,2,0
1978.875,815,5,0
1978.9583,677,3,0
1979.0417,703,1,0
1979.125,725,0,0
1979.2083,689,6,0
1979.2917,684,3,0
1979.375,723,4,0
1979.625,734,0,0
