Year,Value_mm,Flag1,Flag2
1964.625,2780,0,0
1964.7083,2758,0,0
1964.7917,2743,99,0
1964.875,2734,0,0
1964.9583,2737,0,0
1965.0417,2697,0,0
1965.125,2740,0,0
1965.2083,2694,0,0
1965.2917,2624,0,0
1965.375,2737,0,0
1965.4583,2801,0,0
1965.5417,2819,0,0
1965.625,2841,0,0
1965.7083,2859,0,0
1965.7917,2804,0,0
1965.875,2850,0,0
1965.9583,2868,0,0
1966.0417,2786,0,0
1966.125,2694,0,0
1966.2083,2579,0,0
1966.2917,2664,0,0
1966.375,2722,0,0
1966.4583,2765,0,0
1966.5417,2792,0,0
1966.625,2780,0,0
1966.7083,2765,0,0
1966.7917,2804,0,0
1966.875,2835,0,0
1966.9583,2792,0,0
1967.0417,2743,0,0
1967.125,2643,0,0
1967.2083,2512,0,0
1967.2917,2576,0,0
1967.375,2734,0,0
1967.4583,2780,0,0
1967.5417,2758,0,0
1967.625,2725,0,0
1967.7083,2728,0,0
1967.7917,2737,0,0
1967.875,2758,0,0
1967.9583,2755,0,0
1968.0417,2679,0,0
1968.125,2569,0,0
1968.2083,2536,0,0
1968.2917,2609,0,0
1968.375,2697,0,0
1968.4583,2734,0,0
1968.5417,2798,0,0
1968.625,2743,0,0
1968.7083,2765,0,0
1968.7917,2801,0,0
1968.875,2816,0,0
1968.9583,2795,0,0
1969.0417,2743,0,0
1969.125,2667,0,0
1969.2083,2722,0,0
1969.2917,2761,0,0
1969.375,2774,0,0
1969.4583,2737,0,0
1969.5417,2713,0,0
1969.625,2758,0,0
1969.7083,2798,0,0
1969.7917,2795,0,0
1969.875,2835,0,0
1969.9583,2792,0,0
1970.0417,2877,0,0
1970.125,2805,0,0
1970.2083,2764,0,0
1970.2917,2802,0,0
1970.375,2883,0,0
1970.4583,2890,8,0
1970.5417,2895,2,0
1970.625,2913,0,0
1970.7083,2904,5,0
1970.7917,2954,1,0
1970.875,2924,0,0
1970.9583,2942,9,0
1971.0417,2869,0,0
1971.125,2819,0,0
1971.2083,2836,6,0
1971.2917,2853,14,0
1971.5417,2945,0,0
1971.625,2901,0,0
1971.7083,2916,0,0
1971.7917,2890,2,0
1971.875,2901,9,0
1971.9583,2894,11,0
1972.125,2818,1,0
1972.2083,2811,4,0
1972.2917,2840,1,0
1972.375,2998,10,0
1972.4583,3035,2,0
1972.5417,3072,2,0
1972.625,2978,0,0
1972.7083,3000,1,0
1972.7917,3016,0,0
1972.875,3067,0,0
1972.9583,3068,0,0
1973.0417,2611,3,0
1973.125,2449,0,0
1973.2083,2478,0,0
1973.2917,2480,0,0
1973.4583,3460,11,0
1973.5417,3506,9,0
1973.625,3482,14,0
1973.7083,3533,6,0
1973.7917,3522,9,0
1973.875,3495,11,0
1973.9583,3474,4,0
1974.0417,3466,0,0
1974.125,3342,3,0
1974.2083,3356,3,0
1974.2917,3471,7,0
1974.375,3552,9,0
1974.4583,3528,7,0
1974.875,3526,10,0
1974.9583,3439,3,0
1975.125,2786,4,0
1975.2083,2834,11,0
1975.2917,2772,15,0
1975.375,2914,11,0
1975.4583,2904,4,0
1975.5417,2904,2,0
1975.625,2931,0,0
1975.7083,2914,2,0
1975.7917,2955,2,0
1975.875,2945,6,0
1975.9583,2899,6,0
1976.0417,2865,1,0
1976.125,2780,14,0
1976.2083,2841,2,0
1976.2917,2903,0,0
1976.375,3012,0,0
1976.4583,3058,0,0
1976.5417,3032,0,0
1976.625,2991,0,0
1976.7083,3025,0,0
1976.7917,3033,0,0
1976.875,3052,0,0
1976.9583,2987,0,0
1977.0417,2834,2,0
1977.125,2838,0,0
1977.2083,2775,0,0
1977.2917,2798,0,0
1977.375,2942,0,0
1977.4583,2987,0,0
1977.5417,3010,0,0
1977.625,2983,2,0
1977.7083,2990,0,0
1977.7917,2995,0,0
