,point,lower_95,upper_95,enso_component,ets_component
1991-01-01,300.2688939361768,299.4308682211457,301.10691965120793,0.12238702962107487,300.14650690655577
1991-01-02,300.3449970107111,299.3286778111197,301.3613162103025,0.12238702962107487,300.22260998109005
1991-01-03,300.39243082836754,299.29613400154597,301.4887276551891,0.12238702962107487,300.2700437987465
1991-01-04,300.42199556108346,299.2830200506343,301.5609710715326,0.12238702962107487,300.2996085314624
1991-01-05,300.4404227816562,299.27535752673316,301.60548803657923,0.12238702962107487,300.31803575203514
1991-01-06,300.4519081707277,299.2688615352001,301.6349548062553,0.12238702962107487,300.3295211411066
1991-01-07,300.45906682830184,299.26229378044627,301.6558398761574,0.12238702962107487,300.3366797986808
1991-01-08,300.4635287039897,299.2553915218311,301.67166588614833,0.12238702962107487,300.34114167436866
1991-01-09,300.466309719068,299.2481801956462,301.6844392424898,0.12238702962107487,300.34392268944697
1991-01-10,300.4680430808662,299.240747733984,301.6953384277484,0.12238702962107487,300.34565605124516
1991-01-11,300.4691234572895,299.2331768322678,301.70507008231124,0.12238702962107487,300.3467364276685
1991-01-12,300.46979683847127,299.2255299196696,301.7140637572729,0.12238702962107487,300.3474098088502
1991-01-13,300.47021654608994,299.2178501444316,301.72258294774826,0.12238702962107487,300.3478295164689
1991-01-14,300.4704781430724,299.2101659925016,301.7307902936432,0.12238702962107487,300.34809111345135
1991-01-15,300.470641192248,299.2024957380298,301.7387866464662,0.12238702962107487,300.348254162627
1991-01-16,300.47074281816674,299.1948508447338,301.74663479159966,0.12238702962107487,300.3483557885457
1991-01-17,300.4708061599611,299.18723834187927,301.75437397804296,0.12238702962107487,300.34841913034006
1991-01-18,300.47084563987886,299.17966241262667,301.76202886713105,0.12238702962107487,300.3484586102578
1991-01-19,300.4708702470742,299.172125430772,301.76961506337636,0.12238702962107487,300.3484832174531
1991-01-20,300.4708855843417,299.1646286281513,301.7771425405321,0.12238702962107487,300.34849855472066
1991-01-21,300.470895143813,299.1571725206963,301.78461776692967,0.12238702962107487,300.34850811419193
1991-01-22,300.47090110207705,299.14975717896414,301.79204502518996,0.12238702962107487,300.348514072456
1991-01-23,300.47090481576686,299.14238239928125,301.79942723225247,0.12238702962107487,300.3485177861458
1991-01-24,300.47090713044975,299.13504781170354,301.80676644919595,0.12238702962107487,300.3485201008287
1991-01-25,300.47090857315425,299.12775294794073,301.81406419836776,0.12238702962107487,300.3485215435332
1991-01-26,300.47090947236865,299.12049728397005,301.82132166076724,0.12238702962107487,300.3485224427476
1991-01-27,300.47091003283447,299.1132802666734,301.8285397989955,0.12238702962107487,300.3485230032134
1991-01-28,300.47091038216377,299.1061013304042,301.8357194339233,0.12238702962107487,300.3485233525427
1991-01-29,300.4709105998951,299.09895990721395,301.84286129257623,0.12238702962107487,300.34852357027404
1991-01-30,300.4709107356035,299.0918554330923,301.84996603811476,0.12238702962107487,300.3485237059825
