,point,lower_95,upper_95,enso_component,ets_component
1991-01-01,295.207957580457,294.8841602196451,295.5317549412689,0.04490239970217691,295.16305518075484
1991-01-02,295.2210856951367,294.8080227603991,295.6341486298743,0.04490239970217691,295.17618329543456
1991-01-03,295.23029324280907,294.7672539530098,295.69333253260834,0.04490239970217691,295.1853908431069
1991-01-04,295.23675105767484,294.7413457776546,295.7321563376951,0.04490239970217691,295.1918486579727
1991-01-05,295.2412803171829,294.7228166776337,295.75974395673205,0.04490239970217691,295.19637791748073
1991-01-06,295.2444569631719,294.7082982624772,295.7806156638666,0.04490239970217691,295.19955456346975
1991-01-07,295.24668493878727,294.696106631601,295.7972632459735,0.04490239970217691,295.2017825390851
1991-01-08,295.24824755399834,294.6853402657783,295.8111548422184,0.04490239970217691,295.2033451542962
1991-01-09,295.24934351136926,294.675490544939,295.8231964777995,0.04490239970217691,295.2044411116671
1991-01-10,295.2501121731296,294.66625781123963,295.83396653501956,0.04490239970217691,295.20520977342744
1991-01-11,295.25065128251237,294.6574588797691,295.84384368525565,0.04490239970217691,295.2057488828102
1991-01-12,295.2510293928095,294.6489781530482,295.8530806325709,0.04490239970217691,295.2061269931074
1991-01-13,295.2512945846266,294.64074064492775,295.8618485243254,0.04490239970217691,295.2063921849244
1991-01-14,295.2514805798252,294.6326965103467,295.87026464930375,0.04490239970217691,295.2065781801231
1991-01-15,295.2516110296042,294.6248118634316,295.8784101957768,0.04490239970217691,295.20670862990204
1991-01-16,295.25170252199194,294.6170631618683,295.8863418821156,0.04490239970217691,295.2068001222898
1991-01-17,295.25176669118474,294.6094336838054,295.8940996985641,0.04490239970217691,295.2068642914826
1991-01-18,295.2518116969541,294.6019112705879,295.90171212332035,0.04490239970217691,295.20690929725197
1991-01-19,295.25184326224564,294.5944868557255,295.9091996687658,0.04490239970217691,295.2069408625435
1991-01-20,295.25186540091016,294.5871534931236,295.91657730869673,0.04490239970217691,295.206963001208
1991-01-21,295.2518809281061,294.5799057080923,295.9238561481199,0.04490239970217691,295.20697852840397
1991-01-22,295.25189181827585,294.5727390600311,295.9310445765206,0.04490239970217691,295.2069894185737
1991-01-23,295.2518994562162,294.565649845485,295.93814906694746,0.04490239970217691,295.20699705651407
1991-01-24,295.25190481316974,294.55863489510466,295.94517473123483,0.04490239970217691,295.2070024134676
1991-01-25,295.251908570328,294.5516914338576,295.95212570679837,0.04490239970217691,295.20700617062585
1991-01-26,295.2519112054523,294.54481698408233,295.9590054268223,0.04490239970217691,295.20700880575015
1991-01-27,295.25191305362574,294.5380092977004,295.9658168095511,0.04490239970217691,295.2070106539236
1991-01-28,295.2519143498625,294.5312663083596,295.9725623913654,0.04490239970217691,295.20701195016034
1991-01-29,295.2519152589924,294.5245860972575,295.97924442072735,0.04490239970217691,295.2070128592903
1991-01-30,295.2519158966207,294.51796686839793,295.98586492484344,0.04490239970217691,295.20701349691853
1991-01-31,295.25191634382827,294.5114069303857,295.99242575727084,0.04490239970217691,295.2070139441261
1991-02-01,295.2527129645043,294.5057009898001,295.99972493920853,0.04569870672423094,295.2070142577801
1991-02-02,295.252713184489,294.499254912659,296.00617145631895,0.04569870672423094,295.20701447776474
1991-02-03,295.25271333877765,294.492863558371,296.0125631191843,0.04569870672423094,295.2070146320534
1991-02-04,295.25271344698973,294.4865255450895,296.01890134889,0.04569870672423094,295.2070147402655
1991-02-05,295.2527135228855,294.4802395513551,296.02518749441583,0.04569870672423094,295.20701481616123
1991-02-06,295.25271357611575,294.47400431158314,296.03142284064836,0.04569870672423094,295.2070148693915
1991-02-07,295.25271361344943,294.46781861220063,296.03760861469823,0.04569870672423094,295.2070149067252
1991-02-08,295.2527136396338,294.4616812882801,296.0437459909875,0.04569870672423094,295.20701493290954
1991-02-09,295.25271365799847,294.4555912205615,296.04983609543547,0.04569870672423094,295.20701495127423
1991-02-10,295.25271367087873,294.44954733278314,296.0558800089743,0.04569870672423094,295.2070149641545
1991-02-11,295.25271367991246,294.4435485892657,296.06187877055925,0.04569870672423094,295.2070149731882
1991-02-12,295.25271368624834,294.43759399270533,296.06783337979135,0.04569870672423094,295.2070149795241
1991-02-13,295.2527136906921,294.4316825821467,296.07374479923743,0.04569870672423094,295.20701498396784
1991-02-14,295.25271369380874,294.425813431109,296.07961395650847,0.04569870672423094,295.2070149870845
1991-02-15,295.25271369599466,294.41998564584776,296.08544174614156,0.04569870672423094,295.2070149892704
1991-02-16,295.2527136975278,294.41419836373626,296.0912290313193,0.04569870672423094,295.20701499080354
1991-02-17,295.25271369860303,294.4084507517548,296.09697664545126,0.04569870672423094,295.2070149918788
1991-02-18,295.2527136993572,294.402742005077,296.10268539363733,0.04569870672423094,295.20701499263293
1991-02-19,295.2527136998861,294.3970713457448,296.1083560540274,0.04569870672423094,295.20701499316186
1991-02-20,295.25271370025706,294.391438021424,296.1139893790901,0.04569870672423094,295.2070149935328
1991-02-21,295.25271370051723,294.3858413042352,296.11958609679925,0.04569870672423094,295.207014993793
1991-02-22,295.2527137006997,294.3802804896526,296.1251469117468,0.04569870672423094,295.20701499397546
1991-02-23,295.2527137008277,294.3747548954666,296.13067250618883,0.04569870672423094,295.2070149941035
1991-02-24,295.25271370091747,294.3692638608055,296.1361635410294,0.04569870672423094,295.20701499419323
1991-02-25,295.25271370098045,294.36380674521234,296.14162065674856,0.04569870672423094,295.2070149942562
1991-02-26,295.2527137010246,294.3583829277715,296.1470444742777,0.04569870672423094,295.2070149943004
1991-02-27,295.2527137010556,294.3529918062843,296.1524355958269,0.04569870672423094,295.20701499433136
1991-02-28,295.2527137010773,294.34763279648797,296.15779460566665,0.04569870672423094,295.2070149943531
1991-03-01,295.2518926493399,294.3414842795638,296.16230101911594,0.04487765497154841,295.2070149943683
1991-03-02,295.25189264935057,294.33618780844733,296.1675974902538,0.04487765497154841,295.207014994379
1991-03-03,295.25189264935807,294.3309217966481,296.172863502068,0.04487765497154841,295.2070149943865
1991-03-04,295.2518926493633,294.3256857246301,296.1780995740965,0.04487765497154841,295.2070149943917
1991-03-05,295.251892649367,294.32047908746097,296.183306211273,0.04487765497154841,295.2070149943954
1991-03-06,295.25189264936955,294.31530139424353,296.18848390449557,0.04487765497154841,295.207014994398
1991-03-07,295.25189264937137,294.31015216757567,296.1936331311671,0.04487765497154841,295.2070149943998
1991-03-08,295.2518926493726,294.30503094303646,296.1987543557088,0.04487765497154841,295.20701499440105
1991-03-09,295.25189264937353,294.2999372686976,296.20384803004947,0.04487765497154841,295.20701499440196
1991-03-10,295.25189264937416,294.29487070465746,296.20891459409086,0.04487765497154841,295.2070149944026
1991-03-11,295.2518926493746,294.2898308225982,296.213954476151,0.04487765497154841,295.20701499440304
1991-03-12,295.2518926493749,294.28481720536286,296.21896809338693,0.04487765497154841,295.2070149944033
1991-03-13,295.2518926493751,294.27982944655264,296.2239558521976,0.04487765497154841,295.20701499440355
1991-03-14,295.2518926493753,294.2748671501421,296.2289181486085,0.04487765497154841,295.2070149944037
1991-03-15,295.2518926493754,294.2699299301126,296.2338553686382,0.04487765497154841,295.20701499440383
1991-03-16,295.25189264937546,294.2650174101014,296.23876788864953,0.04487765497154841,295.2070149944039
1991-03-17,295.2518926493755,294.26012922306745,296.2436560756836,0.04487765497154841,295.20701499440395
1991-03-18,295.2518926493756,294.2552650109708,296.24852028778037,0.04487765497154841,295.207014994404
1991-03-19,295.2518926493756,294.2504244244666,296.25336087428457,0.04487765497154841,295.207014994404
1991-03-20,295.2518926493756,294.24560712261274,296.2581781761384,0.04487765497154841,295.207014994404
1991-03-21,295.2518926493756,294.24081277258915,296.262972526162,0.04487765497154841,295.207014994404
1991-03-22,295.2518926493756,294.2360410494298,296.26774424932137,0.04487765497154841,295.207014994404
1991-03-23,295.2518926493756,294.2312916357653,296.2724936629859,0.04487765497154841,295.207014994404
1991-03-24,295.2518926493756,294.2265642215768,296.2772210771744,0.04487765497154841,295.207014994404
1991-03-25,295.2518926493756,294.2218585039598,296.28192679479133,0.04487765497154841,295.207014994404
1991-03-26,295.2518926493756,294.2171741868978,296.28661111185335,0.04487765497154841,295.207014994404
1991-03-27,295.2518926493756,294.2125109810447,296.29127431770644,0.04487765497154841,295.207014994404
1991-03-28,295.2518926493756,294.2078686035164,296.2959166952348,0.04487765497154841,295.207014994404
1991-03-29,295.2518926493756,294.2032467776905,296.3005385210607,0.04487765497154841,295.207014994404
1991-03-30,295.2518926493756,294.1986452330141,296.3051400657371,0.04487765497154841,295.207014994404
1991-03-31,295.2518926493756,294.19406370481875,296.3097215939324,0.04487765497154841,295.207014994404
1991-04-01,295.2362347419533,294.1738440267208,296.2986254571858,0.029219747549296668,295.207014994404
1991-04-02,295.2362347419533,294.1693017601395,296.3031677237671,0.029219747549296668,295.207014994404
1991-04-03,295.2362347419533,294.16477874959895,296.30769073430764,0.029219747549296668,295.207014994404
1991-04-04,295.2362347419533,294.1602747522594,296.3121947316472,0.029219747549296668,295.207014994404
1991-04-05,295.2362347419533,294.1557895303428,296.3166799535638,0.029219747549296668,295.207014994404
1991-04-06,295.2362347419533,294.1513228509861,296.3211466329205,0.029219747549296668,295.207014994404
1991-04-07,295.2362347419533,294.1468744861004,296.3255949978062,0.029219747549296668,295.207014994404
1991-04-08,295.2362347419533,294.14244421223475,296.33002527167184,0.029219747549296668,295.207014994404
1991-04-09,295.2362347419533,294.1380318104457,296.3344376734609,0.029219747549296668,295.207014994404
1991-04-10,295.2362347419533,294.1336370661704,296.33883241773617,0.029219747549296668,295.207014994404
1991-04-11,295.2362347419533,294.1292597691053,296.3432097148013,0.029219747549296668,295.207014994404
1991-04-12,295.2362347419533,294.12489971308855,296.34756977081804,0.029219747549296668,295.207014994404
1991-04-13,295.2362347419533,294.12055669598675,296.35191278791984,0.029219747549296668,295.207014994404
1991-04-14,295.2362347419533,294.1162305195855,296.3562389643211,0.029219747549296668,295.207014994404
1991-04-15,295.2362347419533,294.11192098948396,296.36054849442263,0.029219747549296668,295.207014994404
1991-04-16,295.2362347419533,294.10762791499286,296.36484156891373,0.029219747549296668,295.207014994404
1991-04-17,295.2362347419533,294.1033511090361,296.3691183748705,0.029219747549296668,295.207014994404
1991-04-18,295.2362347419533,294.0990903880555,296.3733790958511,0.029219747549296668,295.207014994404
1991-04-19,295.2362347419533,294.094845571919,296.3776239119876,0.029219747549296668,295.207014994404
1991-04-20,295.2362347419533,294.0906164838317,296.3818530000749,0.029219747549296668,295.207014994404
1991-04-21,295.2362347419533,294.08640295025003,296.38606653365656,0.029219747549296668,295.207014994404
1991-04-22,295.2362347419533,294.0822048007986,296.390264683108,0.029219747549296668,295.207014994404
1991-04-23,295.2362347419533,294.0780218681898,296.3944476157168,0.029219747549296668,295.207014994404
1991-04-24,295.2362347419533,294.0738539881461,296.3986154957605,0.029219747549296668,295.207014994404
1991-04-25,295.2362347419533,294.06970099932454,296.40276848458205,0.029219747549296668,295.207014994404
1991-04-26,295.2362347419533,294.0655627432443,296.4069067406623,0.029219747549296668,295.207014994404
1991-04-27,295.2362347419533,294.0614390642155,296.4110304196911,0.029219747549296668,295.207014994404
1991-04-28,295.2362347419533,294.05732980927155,296.41513967463504,0.029219747549296668,295.207014994404
1991-04-29,295.2362347419533,294.0532348281024,296.4192346558042,0.029219747549296668,295.207014994404
1991-04-30,295.2362347419533,294.04915397299055,296.42331551091604,0.029219747549296668,295.207014994404
1991-05-01,295.231375338787,294.0402276955827,296.42252298199134,0.02436034438298744,295.207014994404
1991-05-02,295.231375338787,294.0361746594945,296.4265760180795,0.02436034438298744,295.207014994404
1991-05-03,295.231375338787,294.0321353212546,296.43061535631944,0.02436034438298744,295.207014994404
1991-05-04,295.231375338787,294.02810954291266,296.4346411346614,0.02436034438298744,295.207014994404
1991-05-05,295.231375338787,294.02409718881864,296.4386534887554,0.02436034438298744,295.207014994404
1991-05-06,295.231375338787,294.02009812556906,296.442652552005,0.02436034438298744,295.207014994404
1991-05-07,295.231375338787,294.0161122219555,296.44663845561854,0.02436034438298744,295.207014994404
1991-05-08,295.231375338787,294.0121393489143,296.45061132865976,0.02436034438298744,295.207014994404
1991-05-09,295.231375338787,294.00817937947755,296.4545712980965,0.02436034438298744,295.207014994404
1991-05-10,295.231375338787,294.0042321887263,296.45851848884774,0.02436034438298744,295.207014994404
1991-05-11,295.231375338787,294.000297653744,296.46245302383005,0.02436034438298744,295.207014994404
1991-05-12,295.231375338787,293.9963756535721,296.46637502400193,0.02436034438298744,295.207014994404
1991-05-13,295.231375338787,293.9924660691668,296.4702846084072,0.02436034438298744,295.207014994404
1991-05-14,295.231375338787,293.9885687833566,296.47418189421745,0.02436034438298744,295.207014994404
1991-05-15,295.231375338787,293.9846836808015,296.47806699677255,0.02436034438298744,295.207014994404
1991-05-16,295.231375338787,293.98081064795304,296.481940029621,0.02436034438298744,295.207014994404
1991-05-17,295.231375338787,293.9769495730158,296.4858011045582,0.02436034438298744,295.207014994404
1991-05-18,295.231375338787,293.9731003459096,296.48965033166445,0.02436034438298744,295.207014994404
1991-05-19,295.231375338787,293.9692628582328,296.4934878193412,0.02436034438298744,295.207014994404
1991-05-20,295.231375338787,293.96543700322695,296.4973136743471,0.02436034438298744,295.207014994404
1991-05-21,295.231375338787,293.96162267574175,296.5011280018323,0.02436034438298744,295.207014994404
1991-05-22,295.231375338787,293.9578197722017,296.50493090537236,0.02436034438298744,295.207014994404
1991-05-23,295.231375338787,293.95402819057296,296.5087224870011,0.02436034438298744,295.207014994404
1991-05-24,295.231375338787,293.9502478303319,296.51250284724216,0.02436034438298744,295.207014994404
1991-05-25,295.231375338787,293.94647859243327,296.51627208514077,0.02436034438298744,295.207014994404
1991-05-26,295.231375338787,293.9427203792806,296.5200302982934,0.02436034438298744,295.207014994404
1991-05-27,295.231375338787,293.9389730946964,296.52377758287764,0.02436034438298744,295.207014994404
1991-05-28,295.231375338787,293.93523664389346,296.5275140336806,0.02436034438298744,295.207014994404
1991-05-29,295.231375338787,293.9315109334469,296.53123974412716,0.02436034438298744,295.207014994404
1991-05-30,295.231375338787,293.92779587126677,296.53495480630727,0.02436034438298744,295.207014994404
1991-05-31,295.231375338787,293.924091366572,296.53865931100205,0.02436034438298744,295.207014994404
1991-06-01,295.23579703113694,293.92481902221374,296.54677504006014,0.02878203673295628,295.207014994404
1991-06-02,295.23579703113694,293.9211353652509,296.550458697023,0.02878203673295628,295.207014994404
1991-06-03,295.23579703113694,293.917462001025,296.5541320612489,0.02878203673295628,295.207014994404
1991-06-04,295.23579703113694,293.91379884373646,296.5577952185374,0.02878203673295628,295.207014994404
1991-06-05,295.23579703113694,293.91014580877106,296.5614482535028,0.02878203673295628,295.207014994404
1991-06-06,295.23579703113694,293.90650281267733,296.56509124959655,0.02878203673295628,295.207014994404
1991-06-07,295.23579703113694,293.9028697731442,296.5687242891297,0.02878203673295628,295.207014994404
1991-06-08,295.23579703113694,293.8992466089792,296.5723474532947,0.02878203673295628,295.207014994404
1991-06-09,295.23579703113694,293.8956332400875,296.5759608221864,0.02878203673295628,295.207014994404
1991-06-10,295.23579703113694,293.8920295874511,296.5795644748228,0.02878203673295628,295.207014994404
1991-06-11,295.23579703113694,293.8884355731087,296.58315848916516,0.02878203673295628,295.207014994404
1991-06-12,295.23579703113694,293.8848511201361,296.5867429421378,0.02878203673295628,295.207014994404
1991-06-13,295.23579703113694,293.8812761526268,296.59031790964707,0.02878203673295628,295.207014994404
1991-06-14,295.23579703113694,293.8777105956735,296.5938834666004,0.02878203673295628,295.207014994404
1991-06-15,295.23579703113694,293.8741543753495,296.59743968692436,0.02878203673295628,295.207014994404
1991-06-16,295.23579703113694,293.8706074186912,296.6009866435827,0.02878203673295628,295.207014994404
1991-06-17,295.23579703113694,293.8670696536801,296.60452440859376,0.02878203673295628,295.207014994404
1991-06-18,295.23579703113694,293.8635410092264,296.60805305304746,0.02878203673295628,295.207014994404
1991-06-19,295.23579703113694,293.86002141515166,296.6115726471222,0.02878203673295628,295.207014994404
1991-06-20,295.23579703113694,293.856510802173,296.6150832601009,0.02878203673295628,295.207014994404
1991-06-21,295.23579703113694,293.85300910188687,296.618584960387,0.02878203673295628,295.207014994404
1991-06-22,295.23579703113694,293.8495162467539,296.62207781551996,0.02878203673295628,295.207014994404
1991-06-23,295.23579703113694,293.8460321700832,296.62556189219066,0.02878203673295628,295.207014994404
1991-06-24,295.23579703113694,293.84255680601797,296.6290372562559,0.02878203673295628,295.207014994404
1991-06-25,295.23579703113694,293.8390900895205,296.6325039727534,0.02878203673295628,295.207014994404
1991-06-26,295.23579703113694,293.83563195635844,296.63596210591544,0.02878203673295628,295.207014994404
1991-06-27,295.23579703113694,293.8321823430906,296.6394117191833,0.02878203673295628,295.207014994404
1991-06-28,295.23579703113694,293.8287411870535,296.6428528752204,0.02878203673295628,295.207014994404
1991-06-29,295.23579703113694,293.825308426348,296.6462856359259,0.02878203673295628,295.207014994404
