,point,lower_95,upper_95,enso_component,ets_component
1991-01-01,0.007179301496705135,0.002924425338530709,0.01143417765487956,0.00011547853961080834,0.0070638229570943265
1991-01-02,0.007172031916661833,0.0013736092313376413,0.012970454601986025,0.00011547853961080834,0.007056553377051024
1991-01-03,0.0071676915067276775,0.00026187665711114444,0.01407350635634421,0.00011547853961080834,0.007052212967116869
1991-01-04,0.007165100000989478,-0.0006405051020645404,0.014970705104043497,0.00011547853961080834,0.0070496214613786695
1991-01-05,0.007163552704284097,-0.0014201729795702356,0.01574727838813843,0.00011547853961080834,0.0070480741646732886
1991-01-06,0.0071626288679756565,-0.0021189850594465183,0.016444242795397832,0.00011547853961080834,0.007047150328364848
1991-01-07,0.00716207727788836,-0.0027600101405881516,0.01708416469636487,0.00011547853961080834,0.007046598738277551
1991-01-08,0.007161747942895111,-0.0033571489901676093,0.017680644875957833,0.00011547853961080834,0.007046269403284303
1991-01-09,0.007161551308582283,-0.003919378379746298,0.018242480996910865,0.00011547853961080834,0.007046072768971475
1991-01-10,0.007161433905166995,-0.004452838299027944,0.018775706109361932,0.00011547853961080834,0.0070459553655561865
1991-01-11,0.007161363807727117,-0.004961938855801726,0.01928466647125596,0.00011547853961080834,0.007045885268116309
1991-01-12,0.007161321955017251,-0.005449981966924674,0.019772625876959174,0.00011547853961080834,0.007045843415406442
1991-01-13,0.007161296966239826,-0.005919527483005823,0.020242121415485474,0.00011547853961080834,0.007045818426629017
1991-01-14,0.007161282046321876,-0.0063726180084080685,0.02069518210105182,0.00011547853961080834,0.007045803506711067
1991-01-15,0.007161273138164912,-0.006810922364791362,0.021133468641121186,0.00011547853961080834,0.007045794598554103
1991-01-16,0.007161267819418471,-0.00723583050343766,0.021558366142274604,0.00011547853961080834,0.0070457892798076625
1991-01-17,0.007161264643782499,-0.007648518463982055,0.021971047751547054,0.00011547853961080834,0.0070457861041716904
1991-01-18,0.007161262747722226,-0.008049994257858833,0.022372519753303285,0.00011547853961080834,0.007045784208111417
1991-01-19,0.007161261615651488,-0.008441131226817809,0.022763654458120782,0.00011547853961080834,0.007045783076040679
1991-01-20,0.007161260939731964,-0.008822692932001622,0.023145214811465552,0.00011547853961080834,0.007045782400121155
1991-01-21,0.0071612605361642484,-0.009195352153534776,0.02351787322586327,0.00011547853961080834,0.00704578199655344
1991-01-22,0.007161260295208194,-0.009559705686211988,0.023882226276628376,0.00011547853961080834,0.007045781755597385
1991-01-23,0.00716126015134183,-0.009916286061578572,0.024238806364262233,0.00011547853961080834,0.007045781611731021
1991-01-24,0.007161260065444296,-0.010265570973599134,0.024588091104487723,0.00011547853961080834,0.007045781525833487
1991-01-25,0.007161260014157907,-0.010607990955202321,0.024930510983518134,0.00011547853961080834,0.007045781474547098
1991-01-26,0.007161259983536612,-0.01094393569975054,0.025266455666823767,0.00011547853961080834,0.007045781443925803
1991-01-27,0.007161259965253717,-0.011273759316992434,0.025596279247499867,0.00011547853961080834,0.007045781425642908
1991-01-28,0.007161259954337645,-0.011597784740231083,0.02592030464890637,0.00011547853961080834,0.007045781414726836
1991-01-29,0.0071612599478200435,-0.011916307449627388,0.026238827345267477,0.00011547853961080834,0.007045781408209235
1991-01-30,0.007161259943928613,-0.01222959863898122,0.026552118526838444,0.00011547853961080834,0.007045781404317804
1991-01-31,0.007161259941605177,-0.012537907925598545,0.0268604278088089,0.00011547853961080834,0.0070457814019943684
1991-02-01,0.007172737951212238,-0.012829987671061199,0.027175463573485673,0.00012695655060511088,0.0070457814006071266
1991-02-02,0.0071727379503839644,-0.013129007041856374,0.027474482942624303,0.00012695655060511088,0.007045781399778853
1991-02-03,0.007172737949889432,-0.013423685695755489,0.027769161595534355,0.00012695655060511088,0.007045781399284321
1991-02-04,0.007172737949594164,-0.01371420735513623,0.028059683254324556,0.00012695655060511088,0.007045781398989053
1991-02-05,0.00717273794941787,-0.014000743136165894,0.028346219035001632,0.00012695655060511088,0.007045781398812759
1991-02-06,0.007172737949312611,-0.014283452727706864,0.02862892862633209,0.00012695655060511088,0.0070457813987075
1991-02-07,0.007172737949249765,-0.014562485432089493,0.02890796133058902,0.00012695655060511088,0.007045781398644654
1991-02-08,0.007172737949212241,-0.014837981087055165,0.02918345698547965,0.00012695655060511088,0.00704578139860713
1991-02-09,0.007172737949189837,-0.015110070885055876,0.029455546783435548,0.00012695655060511088,0.007045781398584726
1991-02-10,0.007172737949176461,-0.015378878103548915,0.029724354001901838,0.00012695655060511088,0.00704578139857135
1991-02-11,0.007172737949168474,-0.015644518757831495,0.029989994656168445,0.00012695655060511088,0.007045781398563363
1991-02-12,0.007172737949163705,-0.015907102186229177,0.030252578084556586,0.00012695655060511088,0.007045781398558594
1991-02-13,0.007172737949160858,-0.01616673157601453,0.030512207474336243,0.00012695655060511088,0.007045781398555747
1991-02-14,0.007172737949159158,-0.01642350443723315,0.030768980335551463,0.00012695655060511088,0.007045781398554047
1991-02-15,0.007172737949158143,-0.01667751303060844,0.031022988928924727,0.00012695655060511088,0.007045781398553032
1991-02-16,0.007172737949157537,-0.016928844754850816,0.03127432065316589,0.00012695655060511088,0.0070457813985524255
1991-02-17,0.007172737949157175,-0.017177582497981563,0.03152305839629591,0.00012695655060511088,0.007045781398552064
1991-02-18,0.007172737949156959,-0.017423804956675688,0.031769280854989604,0.00012695655060511088,0.007045781398551848
1991-02-19,0.00717273794915683,-0.017667586927111414,0.03201306282542507,0.00012695655060511088,0.007045781398551719
1991-02-20,0.0071727379491567525,-0.017908999570373507,0.03225447546868701,0.00012695655060511088,0.0070457813985516414
1991-02-21,0.0071727379491567066,-0.018148110655079673,0.032493586553393086,0.00012695655060511088,0.0070457813985515955
1991-02-22,0.007172737949156679,-0.018384984779574426,0.032730460677887784,0.00012695655060511088,0.007045781398551568
1991-02-23,0.007172737949156662,-0.01861968357575512,0.032965159474068445,0.00012695655060511088,0.007045781398551551
1991-02-24,0.007172737949156653,-0.018852265896352458,0.03319774179466576,0.00012695655060511088,0.007045781398551542
1991-02-25,0.007172737949156647,-0.019082787987278017,0.03342826388559131,0.00012695655060511088,0.007045781398551536
1991-02-26,0.007172737949156643,-0.01931130364646886,0.03365677954478215,0.00012695655060511088,0.007045781398551532
1991-02-27,0.0071727379491566415,-0.019537864370500056,0.03388334026881334,0.00012695655060511088,0.00704578139855153
1991-02-28,0.007172737949156641,-0.019762519490097157,0.03410799538841044,0.00012695655060511088,0.0070457813985515295
