,temperature_max,temperature_min,precipitation,wind_speed
1991-01-01,300.6844241366359,295.2939857153421,0.15052924530132192,2.8447011055554206
1991-02-01,301.0243676970823,295.57123445527264,0.15225061195522,2.701659313208991
1991-03-01,301.17995545872986,295.75132954225194,0.17737318163179874,2.458115777822267
1991-04-01,300.8820207941055,295.8097142814489,0.25527156625802644,2.241109972394387
1991-05-01,300.4503889386852,295.6657291729568,0.3036268980148159,2.1778305259565247
1991-06-01,299.971482898699,295.2813017855652,0.2853301544418742,2.3286617967410765
1991-07-01,299.88273516697734,294.9535530028495,0.2651530371296091,2.4975408344690786
1991-08-01,300.30290207165126,295.0308917159657,0.24460654828011918,2.3330593826263564
1991-09-01,300.5315893346575,295.1616475000483,0.24184313789864761,2.173147662145156
1991-10-01,300.54926127650714,295.31871204696336,0.27714098513533,2.1497386915247025
1991-11-01,300.549073229015,295.36580401939136,0.24150266003948948,2.384312256250185
1991-12-01,300.6425671901708,295.25581152198043,0.17771247306517657,2.7448878572753848
