,temperature_max,temperature_min,precipitation,wind_speed,Climate_Index
1991-01-01,300.09879488190745,294.9687497278891,0.09811501976444884,2.591128654194835,1.3446218369796419
1991-02-01,300.44238033060327,295.25794766683845,0.09911797104304612,2.446392652559411,1.2727553118012285
1991-03-01,300.65538100022286,295.4612634836651,0.12385190823183287,2.20442265508508,1.1641372816584565
1991-04-01,300.3635462128712,295.53838169249093,0.20828198431043538,1.9846698870448503,1.0964759356776428
1991-05-01,299.99848164100143,295.42859425105473,0.25009499848172967,1.9318427719601041,1.090968885220917
1991-06-01,299.541928384646,295.0584531246827,0.2275845367448909,2.0807053289257684,1.1541449328353297
1991-07-01,299.475551157909,294.7550898295737,0.2105603791986494,2.244764463760728,1.2276624214796887
1991-08-01,299.84090510258625,294.7831200908375,0.18873852839877384,2.0806715272592906,1.1347050278290323
1991-09-01,300.08516050329007,294.9235728569315,0.18856749518907345,1.9131191929664313,1.0508433440777525
1991-10-01,300.092554671186,295.08540613879273,0.22504483331634595,1.8735818252402165,1.0493133292782812
1991-11-01,300.0789128522606,295.1039287855582,0.1891900319944824,2.1091083227233223,1.1491491773589024
1991-12-01,300.1696080193901,295.01690917564156,0.12524220605326758,2.488440718473777,1.3068414622635223
