,temperature_max,temperature_min,precipitation,wind_speed
1991-01-01,-0.05915017773368833,-0.04837928875266091,-0.002723432244788664,0.014830968276854092
1991-02-01,-0.028671063960857238,-0.00874987880410132,-0.003009152527654812,0.0155286366055213
1991-03-01,0.03328134675563384,0.02352427497454128,-0.0032533925839912346,0.01773117517408572
1991-04-01,0.041066425959434515,0.04734985557606358,0.003409201427063017,0.01552598972404006
1991-05-01,0.10877141577305187,0.08551952067836802,-0.0030033678153744345,0.026512869364524693
1991-06-01,0.13212751672248757,0.10340037132966991,-0.007087721992765354,0.025077199671828566
1991-07-01,0.15546427912449445,0.13123173209682668,-0.003805731081288081,0.020789268279839623
1991-08-01,0.10160622655213356,0.08529665176972964,-0.004952389089765152,0.021708722132529116
1991-09-01,0.11812497030350358,0.09832156735315377,-0.00223163249377872,0.014598047058874306
1991-10-01,0.10879545831082217,0.10638416880290619,-0.0009240840537675851,-0.0010010767335247583
1991-11-01,0.09628815402179264,0.081081005323314,-0.001012819544275281,0.0004842010857140089
1991-12-01,0.09443419068574405,0.10728054481524563,-0.0010430569555600554,0.019710102071010815
