,temperature_max,temperature_min,precipitation,wind_speed,Climate_Index
1991-01-01,301.15175303589706,295.52246312528985,0.19749660634861768,3.1279354934697143,1.662716049909166
1991-02-01,301.5490129356396,295.8670214860986,0.19936494781208422,2.987983247069614,1.593674097440849
1991-03-01,301.77109261074816,296.08844415078784,0.22438766986378214,2.7472712509076254,1.4858294603857038
1991-04-01,301.48262822725866,296.175746581559,0.30907955105974355,2.5286020371920035,1.4188407941258736
1991-05-01,301.11983906791505,296.07390313621556,0.3511520619171533,2.4768440186819944,1.4139980402995738
1991-06-01,300.665292446197,295.71095118910694,0.3289003281533268,2.6267726639000415,1.477836496026684
1991-07-01,300.60084773429463,295.4144796403189,0.31213423289799264,2.791895741737109,1.5520149873175508
1991-08-01,300.9681114938205,295.4492566446334,0.2905697899819342,2.6288646822584805,1.4597172361202073
1991-09-01,301.2142681066319,295.5963652778713,0.29065551562066433,2.46237222544163,1.3765138705311473
1991-10-01,301.22355879844986,295.76478629273976,0.3273889688467788,2.423893404342139,1.3756411865944589
1991-11-01,301.211809913813,295.78984126387115,0.29178964899594595,2.660484591948476,1.476137120472211
1991-12-01,301.30439474232287,295.7092749579498,0.22809662616596543,3.0407552002190137,1.6344259131924896
