variable,aic,r2_enso,n_enso_features,residual_std
temperature_max,125.69874184124059,0.28581939575938686,19,18.9232303918802
temperature_min,-292.235199878018,0.38906292501807976,16,18.81890048541295
precipitation,-1447.3130108702333,0.033161804268431856,17,0.02965408383844485
wind_speed,-316.29334221621417,0.029551627324157597,12,0.20886893890499839
