,temperature_max,temperature_min,precipitation,wind_speed,Climate_Index
1991-01-01,300.62527395890226,295.24560642658946,0.14780581305653326,2.8595320738322747,1.503668943444404
1991-02-01,300.99569663312144,295.56248457646853,0.14924145942756517,2.7171879498145124,1.4332147046210388
1991-03-01,301.2132368054855,295.7748538172265,0.1741197890478075,2.4758469529963527,1.3249833710220802
1991-04-01,300.92308722006493,295.85706413702496,0.25868076768508946,2.256635962118427,1.257658364901758
1991-05-01,300.55916035445824,295.75124869363515,0.3006235301994415,2.2043433953210494,1.2524834627602455
1991-06-01,300.1036104154215,295.38470215689483,0.27824243244910885,2.353738996412905,1.315990714431007
1991-07-01,300.0381994461018,295.0847847349463,0.261347306048321,2.5183301027489184,1.3898387043986198
1991-08-01,300.4045082982034,295.11618836773545,0.23965415919035404,2.3547681047588855,1.2972111319746198
1991-09-01,300.649714304961,295.2599690674014,0.2396115054048689,2.1877457092040307,1.2136786073044499
1991-10-01,300.65805673481793,295.42509621576625,0.2762169010815624,2.1487376147911776,1.21247725793637
1991-11-01,300.6453613830368,295.4468850247147,0.24048984049521419,2.384796457335899,1.3126431489155566
1991-12-01,300.7370013808565,295.3630920667957,0.1766694161096165,2.7645979593463954,1.470633687728006
