variable,mean,std,skewness,kurtosis,shapiro_p,jb_p,n_obs
precipitation,-0.000278225855502949,0.02965408383844485,-0.23323211440770833,4.605276485856497,1.8497291408631263e-08,1.0391210988152128e-70,361
temperature_max,0.2934925095072688,18.9232303918802,7.647156154178325,199.5978589138703,1.8847697217599292e-38,0.0,361
temperature_min,0.27466032330186946,18.81890048541295,7.8582107021942775,197.08004478830594,1.995782169430579e-38,0.0,361
wind_speed,0.001275415995949857,0.20886893890499839,4.4121984210307215,57.86416588832903,4.058130600973665e-24,0.0,361
