variable,mean,median,std,skewness,kurtosis,min,max,n_obs
temperature_max,300.6046447753906,300.59429931640625,0.5956120491027832,0.11909015476703644,0.874861478805542,298.0600280761719,302.3704528808594,361
temperature_min,295.2113342285156,295.18804931640625,0.4317278563976288,0.43393826484680176,0.1825261116027832,294.0318603515625,296.6354064941406,361
precipitation,0.2288195937871933,0.23565363883972168,0.059984251856803894,-0.37068185210227966,-0.08993339538574219,0.0003064712800551206,0.3934475779533386,361
wind_speed,2.344686508178711,2.3016486167907715,0.2615072429180145,0.49733057618141174,-0.4022529125213623,1.8510433435440063,3.061281442642212,361
Climate_Index,1.2867530686587725,1.2767581790685654,0.1148085293389884,0.36340691648611406,-0.3893484243848073,1.0633252710103989,1.62027245759964,361
