date,obs_ma,p05,p25,p75,p95
1961-01-01,-0.3688555474024507,-0.8201138352807791,-0.5944846913416149,-0.14322640346328647,0.08240274047587776
1961-02-01,-0.36082426800460266,-0.8120825558829311,-0.5864534119437669,-0.13519512406543843,0.09043401987372579
1961-03-01,-0.352853235342599,-0.8041115232209275,-0.5784823792817633,-0.12722409140343477,0.09840505253572945
1961-04-01,-0.34494350492593207,-0.7962017928042605,-0.5705726488650963,-0.11931436098676784,0.10631478295239638
1961-05-01,-0.33709599651449457,-0.7883542843928231,-0.5627251404536588,-0.11146685257533034,0.11416229136383388
1961-06-01,-0.32931149646019336,-0.7805697843385218,-0.5549406403993575,-0.10368235252102914,0.12194679141813508
1961-07-01,-0.3215905890706804,-0.7728488769490088,-0.5472197330098446,-0.09596144513151617,0.12966769880764806
1961-08-01,-0.31393360824170974,-0.7651918961200381,-0.5395627521808739,-0.08830446430254552,0.1373246796366187
1961-09-01,-0.30634059876631964,-0.7575988866446481,-0.5319697427054839,-0.08071145482715542,0.1449176891120088
1961-10-01,-0.29881143245852204,-0.7500697203368505,-0.5244405763976863,-0.07318228851935782,0.1524468554198064
1961-11-01,-0.2913457406814836,-0.7426040285598121,-0.5169748846206479,-0.06571659674231939,0.15991254719684483
1961-12-01,-0.28394287122470246,-0.735201159103031,-0.5095720151638667,-0.05831372728553824,0.16731541665362598
1962-01-01,-0.27660184443353775,-0.7278601323118662,-0.502230988372702,-0.050972700494373524,0.1746564434447907
1962-02-01,-0.26932149872221706,-0.7205797866005454,-0.4949506426613813,-0.043692354783052834,0.1819367891561114
1962-03-01,-0.26210076262899434,-0.7133590505073228,-0.48772990656815857,-0.03647161868983012,0.1891575252493341
1962-04-01,-0.2549386425668087,-0.7061969304451372,-0.4805677865059729,-0.02930949862764448,0.19631964531151974
1962-05-01,-0.24783405202155007,-0.6990923398998785,-0.4734631959607143,-0.022204908082385844,0.20342423585677838
1962-06-01,-0.2407857456010709,-0.6920440334793994,-0.46641488954023513,-0.015156601661906688,0.21047254227725753
1962-07-01,-0.2337923910548154,-0.6850506789331439,-0.45942153499397964,-0.008163247115651168,0.21746589682351306
1962-08-01,-0.22685241239169363,-0.6781107002700221,-0.45248155633085785,-0.0012232684525294024,0.22440587548663482
1962-09-01,-0.2199640660533973,-0.6712223539317257,-0.4455932099925615,0.005665077885766923,0.23129422182493115
1962-10-01,-0.21312539247457596,-0.6643836803529044,-0.4387545364137402,0.012503751464588264,0.2381328954037525
1962-11-01,-0.20633432317285824,-0.6575926110511867,-0.4319634671120225,0.01929482076630598,0.2449239647054702
1962-12-01,-0.19958878274567135,-0.6508470706239998,-0.4252179266848356,0.026040361193492872,0.25166950513265707
1963-01-01,-0.1928866026587376,-0.644144890537066,-0.4185157465979018,0.03274254128042661,0.25837168521959086
1963-02-01,-0.18622572147837277,-0.6374840093567012,-0.411854865417537,0.039403422460791454,0.26503256639995565
1963-03-01,-0.17960418696378683,-0.6308624748421152,-0.40523333090295105,0.046024956975377396,0.2716541009145416
1963-04-01,-0.1730200134360205,-0.6242783013143489,-0.3986491573751847,0.052609130503143725,0.278238274442308
1963-05-01,-0.16647112730330565,-0.6177294151816342,-0.3921002712424699,0.05915801663585857,0.2847871605750228
1963-06-01,-0.15995534948679432,-0.6112136373651228,-0.3855844934259586,0.0656737944523699,0.2913029383915341
1963-07-01,-0.15347041555076477,-0.6047287034290932,-0.379099559489929,0.07215872838839946,0.29778787232756365
1963-08-01,-0.14701402328483612,-0.5982723111631646,-0.37264316722400037,0.0786151206543281,0.3042442645934923
1963-09-01,-0.14058378556035456,-0.591842073438683,-0.3662129294995188,0.08504535837880967,0.3106745023179739
1963-10-01,-0.13417741644173864,-0.5854357043200671,-0.35980656038090286,0.09145172749742558,0.3170808714365898
1963-11-01,-0.12779281120067945,-0.5790510990790079,-0.35342195513984365,0.09783633273848477,0.323465476677649
1963-12-01,-0.12142803925979404,-0.5726863271381225,-0.3470571831989583,0.10420110467937019,0.3298302486185344
1964-01-01,-0.11508126454460128,-0.5663395524229298,-0.3407104084837655,0.11054787939456294,0.3361770233337272
1964-02-01,-0.10875077584926283,-0.5600090637275913,-0.33437991978842707,0.11687836808990139,0.3425075120290656
1964-03-01,-0.10243503981349456,-0.553693327691823,-0.3280641837526588,0.12319410412566967,0.3488232480648339
1964-04-01,-0.09613257208686876,-0.5473908599651972,-0.321761716026033,0.12949657185229546,0.3551257157914597
1964-05-01,-0.08984208348860488,-0.5411003713669333,-0.3154712274277691,0.13578706045055933,0.36141620438972355
1964-06-01,-0.0835623699101699,-0.5348206577884983,-0.30919151384933413,0.1420667740289943,0.36769591796815854
1964-07-01,-0.07729238915706739,-0.5285506770353958,-0.3029215330962316,0.14833675478209685,0.37396589872126107
1964-08-01,-0.0710311652188663,-0.5222894530971948,-0.29666030915803054,0.15459797872029793,0.3802271226594621
1964-09-01,-0.0647779966000232,-0.5160362844783517,-0.2904071405391874,0.16085114733914102,0.38648029127830524
1964-10-01,-0.058532753509817216,-0.5097910413881457,-0.28416189744898146,0.167096390429347,0.3927255343685112
1964-11-01,-0.05229598611443437,-0.5035542739927628,-0.2779251300535986,0.17333315782472986,0.3989623017638941
1964-12-01,-0.04606934043398037,-0.4973276283123088,-0.2716984843731446,0.17955980350518386,0.4051889474443481
1965-01-01,-0.03985600545979418,-0.4911142933381226,-0.2654851493989584,0.18577313847937005,0.41140228241853427
1965-02-01,-0.033661931416392336,-0.4849202192947208,-0.25929107535555657,0.19196721252277188,0.4175963564619361
1965-03-01,-0.02749824537469945,-0.4787565332530279,-0.2531273893138637,0.19813089856446478,0.423760042503629
1965-04-01,-0.02138415603451481,-0.47264244391284327,-0.24701329997367905,0.2042449879046494,0.4298741318438136
1965-05-01,-0.015350403052589648,-0.4666086909309181,-0.24097954699175386,0.21027874088657458,0.4359078848257388
1965-06-01,-0.009443748800751403,-0.46070203667907983,-0.23507289273991563,0.2161853951384128,0.44181453907757706
1965-07-01,-0.0037315008153347607,-0.4549897886936632,-0.229360644754499,0.22189764312382945,0.4475267870629937
1965-08-01,0.001696379688784007,-0.44956190818954445,-0.22393276425038022,0.22732552362794822,0.45295466756711245
1965-09-01,0.006732438809556558,-0.4445258490687719,-0.21889670512960765,0.2323615827487208,0.457990726687885
1965-10-01,0.011274861751627101,-0.4399834261267013,-0.21435428218753713,0.2369040056907913,0.46253314962995556
1965-11-01,0.013806967776339938,-0.4374513201019885,-0.21182217616282428,0.23943611171550416,0.4650652556546684
1965-12-01,0.0161673149130584,-0.43509097296527005,-0.20946182902610583,0.24179645885222262,0.46742560279138684
1966-01-01,0.01835538330090491,-0.43290290457742353,-0.2072737606382593,0.24398452724006914,0.46961367117923336
1966-02-01,0.020370300459141413,-0.43088798741918705,-0.20525884348002282,0.24599944439830562,0.47162858833746985
1966-03-01,0.02221389805108081,-0.42904438982724763,-0.2034152458880834,0.24784304199024504,0.47347218592940926
1966-04-01,0.02389056822067485,-0.4273677196576536,-0.20173857571848938,0.24951971215983906,0.4751488560990033
1966-05-01,0.02540499723477511,-0.4258532906435533,-0.20022414670438912,0.25103414117393935,0.4766632851131036
1966-06-01,0.026759247659821496,-0.42449904021850693,-0.19886989627934273,0.25238839159898574,0.47801753553814996
1966-07-01,0.02795262959224518,-0.42330565828608324,-0.19767651434691905,0.2535817735314094,0.47921091747057365
1966-08-01,0.02898082636802746,-0.422277461510301,-0.19664831757113677,0.2546099703071917,0.4802391142463559
1966-09-01,0.02983628022129132,-0.42142200765703713,-0.1957928637178729,0.25546542416045553,0.48109456809961976
1966-10-01,0.030508165748517977,-0.42075012212981044,-0.19512097819064625,0.2561373096876822,0.48176645362684645
