,T90,T10,CDD,WP,Rx5day
Floods & Flash Floods,-0.13270947454971724,0.16961032900365558,-0.07901421126901409,0.12190846564961831,0.32778941988244314
Landslides & Mass Movement,-0.31358481760908447,0.2118521316903521,-0.04419249102767808,0.06280203113367926,0.276071067456305
Windthrow (Vendaval),0.18655140612673474,-0.04808720096889965,-0.16092845476060844,0.10163401815575727,-0.05916287958755097
Droughts,0.09313659040656007,-0.13296547739419326,-0.09056545072723028,-0.03657907310081223,-0.22495449949443883
Vegetation Fires,-0.07166790742119357,0.09794864387382082,-0.03314970166335181,0.015988622095801062,-0.2710950121668018
Storms,-0.1011646796075512,0.11218835764841831,0.08751697241080456,0.0960184002044467,0.035028389204324495
Frost,-0.03705552283914266,-0.015376615295725508,-0.034494605495616615,0.04506272291914354,-0.04313781264236269
